ad_archive_id,ads_count,page_name,body_text,display_format,page_like_count,total_active_time,start_date,end_date,duration_hours,media_mix,language
807874862051461,29,English & Communication Training,Take 15 minutes a day for 30 days. Finish the challenge and get your full refund. It’s that simple. 💥,VIDEO,0,22090.0,2025-11-10 08:00:00,2025-11-10 08:00:00,6.1,video-only,en
727044033746742,29,English & Communication Training,Take 15 minutes a day for 30 days. Finish the challenge and get your full refund. It’s that simple. 💥,VIDEO,0,22400.0,2025-11-10 08:00:00,2025-11-10 08:00:00,6.2,video-only,en
1901372297141318,29,English & Communication Training,Take 15 minutes a day for 30 days. Finish the challenge and get your full refund. It’s that simple. 💥,VIDEO,0,22430.0,2025-11-10 08:00:00,2025-11-10 08:00:00,6.2,video-only,en
1363538145162783,29,English & Communication Training,Take 15 minutes a day for 30 days. Finish the challenge and get your full refund. It’s that simple. 💥,VIDEO,0,22057.0,2025-11-10 08:00:00,2025-11-10 08:00:00,6.1,video-only,en
824685317194018,29,Now You Know.,{{product.brand}},DCO,79223,21244.0,2025-11-10 08:00:00,2025-11-10 08:00:00,5.9,none,en
4218393918376621,29,Now You Know.,{{product.brand}},DCO,79223,20800.0,2025-11-10 08:00:00,2025-11-10 08:00:00,5.8,none,en
1168545471438434,29,English & Communication Training,Take 15 minutes a day for 30 days. Finish the challenge and get your full refund. It’s that simple. 💥,VIDEO,0,22358.0,2025-11-10 08:00:00,2025-11-10 08:00:00,6.2,video-only,en
2293485324460969,29,Now You Know.,{{product.brand}},DCO,79223,20993.0,2025-11-10 08:00:00,2025-11-10 08:00:00,5.8,none,en
1224885152817440,29,Now You Know.,{{product.brand}},DCO,79223,20948.0,2025-11-10 08:00:00,2025-11-10 08:00:00,5.8,none,en
2291444128039321,29,Bible Chat,Transform your mornings with Biblechat for quick and profound spiritual nourishment.,VIDEO,68322,19451.0,2025-11-10 08:00:00,2025-11-10 08:00:00,5.4,video-only,en
1544482403254849,29,MathMastery,Replace social media with microlearning - just 10 minutes a day! Get your bite of knowledge anytime 💡,IMAGE,7370,18670.0,2025-11-10 08:00:00,2025-11-10 08:00:00,5.2,image-only,en
722259200902727,29,Deepstash,"Use Deepstash for a few minutes during coffee ☕, at work or after. It's good for your career. Great for your life. Give it a shot!",VIDEO,41483,20743.0,2025-11-10 08:00:00,2025-11-10 08:00:00,5.8,video-only,en
1825334521414957,29,English & Communication Training,Take 15 minutes a day for 30 days. Finish the challenge and get your full refund. It’s that simple. 💥,VIDEO,0,22396.0,2025-11-10 08:00:00,2025-11-10 08:00:00,6.2,video-only,en
1828268887800690,29,MathMastery,Replace social media with microlearning - just 10 minutes a day! Get your bite of knowledge anytime 💡,IMAGE,7370,18672.0,2025-11-10 08:00:00,2025-11-10 08:00:00,5.2,image-only,en
1180900407340450,29,MathMastery,Replace social media with microlearning - just 10 minutes a day! Get your bite of knowledge anytime 💡,IMAGE,7370,18650.0,2025-11-10 08:00:00,2025-11-10 08:00:00,5.2,image-only,en
855013253728041,29,MathMastery,Replace social media with microlearning - just 10 minutes a day! Get your bite of knowledge anytime 💡,IMAGE,7370,18654.0,2025-11-10 08:00:00,2025-11-10 08:00:00,5.2,image-only,en
1456503502927648,29,MathMastery,Replace social media with microlearning - just 10 minutes a day! Get your bite of knowledge anytime 💡,IMAGE,7370,18650.0,2025-11-10 08:00:00,2025-11-10 08:00:00,5.2,image-only,en
1628779871622006,29,MathMastery,Replace social media with microlearning - just 10 minutes a day! Get your bite of knowledge anytime 💡,IMAGE,7370,18646.0,2025-11-10 08:00:00,2025-11-10 08:00:00,5.2,image-only,en
1361918441839166,29,MathMastery,Replace social media with microlearning - just 10 minutes a day! Get your bite of knowledge anytime 💡,IMAGE,7370,18660.0,2025-11-10 08:00:00,2025-11-10 08:00:00,5.2,image-only,en
1565480174470410,29,MathMastery,Replace social media with microlearning - just 10 minutes a day! Get your bite of knowledge anytime 💡,IMAGE,7370,18653.0,2025-11-10 08:00:00,2025-11-10 08:00:00,5.2,image-only,en
